school_name,school_code,region,district,level,ownership
Kaheusseri,,Kilimanjaro,Rombo Dc,Secondary,
Kelamfua,,Kilimanjaro,Rombo Dc,Secondary,
Keni,,Kilimanjaro,Rombo Dc,Secondary,
Kilamacho,,Kilimanjaro,Rombo Dc,Secondary,
Kirachi,,Kilimanjaro,Rombo Dc,Secondary,
Kirongochini,,Kilimanjaro,Rombo Dc,Secondary,
Kisale,,Kilimanjaro,Rombo Dc,Secondary,
Kwaikuru,,Kilimanjaro,Rombo Dc,Secondary,
Kwalakamu,,Kilimanjaro,Rombo Dc,Secondary,
Mahida,,Kilimanjaro,Rombo Dc,Secondary,
Makalema,,Kilimanjaro,Rombo Dc,Secondary,
Maki,,Kilimanjaro,Rombo Dc,Secondary,
Makiidi,,Kilimanjaro,Rombo Dc,Secondary,
Mamsera,,Kilimanjaro,Rombo Dc,Secondary,
Mashati,,Kilimanjaro,Rombo Dc,Secondary,
Matolo,,Kilimanjaro,Rombo Dc,Secondary,
Mawanda,,Kilimanjaro,Rombo Dc,Secondary,
Mbomai,,Kilimanjaro,Rombo Dc,Secondary,
Mema,,Kilimanjaro,Rombo Dc,Secondary,
Mengeni,,Kilimanjaro,Rombo Dc,Secondary,
Mkuu,,Kilimanjaro,Rombo Dc,Secondary,
Mlambai,,Kilimanjaro,Rombo Dc,Secondary,
Motamburu,,Kilimanjaro,Rombo Dc,Secondary,
Mramba,,Kilimanjaro,Rombo Dc,Secondary,
Mraokeryo,,Kilimanjaro,Rombo Dc,Secondary,
Nanjara,,Kilimanjaro,Rombo Dc,Secondary,
Nduweni,,Kilimanjaro,Rombo Dc,Secondary,
Ngaleku,,Kilimanjaro,Rombo Dc,Secondary,
Ngareni,,Kilimanjaro,Rombo Dc,Secondary,
Olele,,Kilimanjaro,Rombo Dc,Secondary,
Shimbi,,Kilimanjaro,Rombo Dc,Secondary,
Tanya,,Kilimanjaro,Rombo Dc,Secondary,
Tarakea,,Kilimanjaro,Rombo Dc,Secondary,
Ubaa,,Kilimanjaro,Rombo Dc,Secondary,
Umarini,,Kilimanjaro,Rombo Dc,Secondary,
Urauri,,Kilimanjaro,Rombo Dc,Secondary,
Bangalala,,Kilimanjaro,Same Dc,Secondary,
Bemko,,Kilimanjaro,Same Dc,Secondary,
Bombo,,Kilimanjaro,Same Dc,Secondary,
Chalao,,Kilimanjaro,Same Dc,Secondary,
Chanjagaa,,Kilimanjaro,Same Dc,Secondary,
Chauka,,Kilimanjaro,Same Dc,Secondary,
Gonja,,Kilimanjaro,Same Dc,Secondary,
Irikiponi,,Kilimanjaro,Same Dc,Secondary,
Kalemawe,,Kilimanjaro,Same Dc,Secondary,
Kasempombe,,Kilimanjaro,Same Dc,Secondary,
Kazita,,Kilimanjaro,Same Dc,Secondary,
Kibacha,,Kilimanjaro,Same Dc,Secondary,
Kigango,,Kilimanjaro,Same Dc,Secondary,
Kihurio,,Kilimanjaro,Same Dc,Secondary,
Kimala,,Kilimanjaro,Same Dc,Secondary,
Kirangare,,Kilimanjaro,Same Dc,Secondary,
Kisiwani,,Kilimanjaro,Same Dc,Secondary,
Kwakoko,,Kilimanjaro,Same Dc,Secondary,
Kwambegu,,Kilimanjaro,Same Dc,Secondary,
Kwizu,,Kilimanjaro,Same Dc,Secondary,
Lugulu,,Kilimanjaro,Same Dc,Secondary,
Mabilioni,,Kilimanjaro,Same Dc,Secondary,
Madiveni,,Kilimanjaro,Same Dc,Secondary,
Makanya,,Kilimanjaro,Same Dc,Secondary,
Malindi,,Kilimanjaro,Same Dc,Secondary,
Manga,,Kilimanjaro,Same Dc,Secondary,
Masheko,,Kilimanjaro,Same Dc,Secondary,
Mighara,,Kilimanjaro,Same Dc,Secondary,
Mighareni,,Kilimanjaro,Same Dc,Secondary,
Mkombozi,,Kilimanjaro,Same Dc,Secondary,
Moipo,,Kilimanjaro,Same Dc,Secondary,
Mtii,,Kilimanjaro,Same Dc,Secondary,
Mvurekongei,,Kilimanjaro,Same Dc,Secondary,
Myamba,,Kilimanjaro,Same Dc,Secondary,
Ndungu,,Kilimanjaro,Same Dc,Secondary,
Ntenga,,Kilimanjaro,Same Dc,Secondary,
Pareni,,Kilimanjaro,Same Dc,Secondary,
Same,,Kilimanjaro,Same Dc,Secondary,
Saweni,,Kilimanjaro,Same Dc,Secondary,
Tae,,Kilimanjaro,Same Dc,Secondary,
Vudee,,Kilimanjaro,Same Dc,Secondary,
Vumari,,Kilimanjaro,Same Dc,Secondary,
Vunta,,Kilimanjaro,Same Dc,Secondary,
Dahani,,Kilimanjaro,Siha Dc,Secondary,
Esinyari,,Kilimanjaro,Siha Dc,Secondary,
Fuka,,Kilimanjaro,Siha Dc,Secondary,
Jitegemee Siha,,Kilimanjaro,Siha Dc,Secondary,
Karansi,,Kilimanjaro,Siha Dc,Secondary,
Kilingi,,Kilimanjaro,Siha Dc,Secondary,
Kishisha,,Kilimanjaro,Siha Dc,Secondary,
Magadini,,Kilimanjaro,Siha Dc,Secondary,
Matadi,,Kilimanjaro,Siha Dc,Secondary,
Namwai,,Kilimanjaro,Siha Dc,Secondary,
Nuru,,Kilimanjaro,Siha Dc,Secondary,
Oshara,,Kilimanjaro,Siha Dc,Secondary,
Sanya Juu,,Kilimanjaro,Siha Dc,Secondary,
Sikirari,,Kilimanjaro,Siha Dc,Secondary,
Suumu,,Kilimanjaro,Siha Dc,Secondary,
Ali Mchumo,,Lindi,Kilwa Dc,Secondary,
Dodomezi,,Lindi,Kilwa Dc,Secondary,
Ilulu Girls,,Lindi,Kilwa Dc,Secondary,
Kandawale,,Lindi,Kilwa Dc,Secondary,
Kibata,,Lindi,Kilwa Dc,Secondary,
Kikanda,,Lindi,Kilwa Dc,Secondary,
Kikole,,Lindi,Kilwa Dc,Secondary,
Kilwa,,Lindi,Kilwa Dc,Secondary,
Kinjumbi,,Lindi,Kilwa Dc,Secondary,
Kipatimu,,Lindi,Kilwa Dc,Secondary,
Kiranjeranje,,Lindi,Kilwa Dc,Secondary,
Kivinje,,Lindi,Kilwa Dc,Secondary,
Likawage,,Lindi,Kilwa Dc,Secondary,
Matanda,,Lindi,Kilwa Dc,Secondary,
Mibuyuni,,Lindi,Kilwa Dc,Secondary,
Miguruwe,,Lindi,Kilwa Dc,Secondary,
Mingumbi,,Lindi,Kilwa Dc,Secondary,
Miteja,,Lindi,Kilwa Dc,Secondary,
Mitole,,Lindi,Kilwa Dc,Secondary,
Mpunyule,,Lindi,Kilwa Dc,Secondary,
Mtanga,,Lindi,Kilwa Dc,Secondary,
Nakiu,,Lindi,Kilwa Dc,Secondary,
Namayuni,,Lindi,Kilwa Dc,Secondary,
Njinjo,,Lindi,Kilwa Dc,Secondary,
Pande,,Lindi,Kilwa Dc,Secondary,
Songosongo,,Lindi,Kilwa Dc,Secondary,
Chiuta,,Lindi,Lindi Dc,Secondary,
Kiwalala,,Lindi,Lindi Dc,Secondary,
Litipu,,Lindi,Lindi Dc,Secondary,
Madangwa,,Lindi,Lindi Dc,Secondary,
Mahiwa,,Lindi,Lindi Dc,Secondary,
Mandwanga,,Lindi,Lindi Dc,Secondary,
Mbawe,,Lindi,Lindi Dc,Secondary,
Mkopwe,,Lindi,Lindi Dc,Secondary,
Mnara,,Lindi,Lindi Dc,Secondary,
Mnolela,,Lindi,Lindi Dc,Secondary,
Mtama,,Lindi,Lindi Dc,Secondary,
Mtua,,Lindi,Lindi Dc,Secondary,
Nahukahuka,,Lindi,Lindi Dc,Secondary,
Namangale,,Lindi,Lindi Dc,Secondary,
Namupa,,Lindi,Lindi Dc,Secondary,
Nyengedi,,Lindi,Lindi Dc,Secondary,
Angaza,,Lindi,Lindi Mc,Secondary,
Chikonji,,Lindi,Lindi Mc,Secondary,
Kinengene,,Lindi,Lindi Mc,Secondary,
Kitomanga,,Lindi,Lindi Mc,Secondary,
Kitumbikwela,,Lindi,Lindi Mc,Secondary,
Lindi,,Lindi,Lindi Mc,Secondary,
Mchinga,,Lindi,Lindi Mc,Secondary,
Milola,,Lindi,Lindi Mc,Secondary,
Mingoyo,,Lindi,Lindi Mc,Secondary,
Mipingo,,Lindi,Lindi Mc,Secondary,
Mitwero,,Lindi,Lindi Mc,Secondary,
Mkonge,,Lindi,Lindi Mc,Secondary,
Mvuleni,,Lindi,Lindi Mc,Secondary,
Nangaru,,Lindi,Lindi Mc,Secondary,
Ngapa,,Lindi,Lindi Mc,Secondary,
Ngongo,,Lindi,Lindi Mc,Secondary,
Rutamba,,Lindi,Lindi Mc,Secondary,
Anna Magowa,,Lindi,Liwale Dc,Secondary,
Barikiwa,,Lindi,Liwale Dc,Secondary,
Hangai,,Lindi,Liwale Dc,Secondary,
Kiangara,,Lindi,Liwale Dc,Secondary,
Kibutuka,,Lindi,Liwale Dc,Secondary,
Kikulyungu,,Lindi,Liwale Dc,Secondary,
Likongowele,,Lindi,Liwale Dc,Secondary,
Liwale,,Lindi,Liwale Dc,Secondary,
Makata,,Lindi,Liwale Dc,Secondary,
Mihumo,,Lindi,Liwale Dc,Secondary,
Milina,,Lindi,Liwale Dc,Secondary,
Mirui,,Lindi,Liwale Dc,Secondary,
Mlembwe,,Lindi,Liwale Dc,Secondary,
Nangando,,Lindi,Liwale Dc,Secondary,
Nangano,,Lindi,Liwale Dc,Secondary,
Nicodemus Banduka,,Lindi,Liwale Dc,Secondary,
Rashidi Mfaume Kawawa,,Lindi,Liwale Dc,Secondary,
Chiola,,Lindi,Nachingwea Dc,Secondary,
Farm 17,,Lindi,Nachingwea Dc,Secondary,
Kiegei,,Lindi,Nachingwea Dc,Secondary,
Kilimarondo,,Lindi,Nachingwea Dc,Secondary,
Kipara,,Lindi,Nachingwea Dc,Secondary,
Kipaumbele,,Lindi,Nachingwea Dc,Secondary,
Lionja,,Lindi,Nachingwea Dc,Secondary,
Marambo,,Lindi,Nachingwea Dc,Secondary,
Matekwe,,Lindi,Nachingwea Dc,Secondary,
Mbondo,,Lindi,Nachingwea Dc,Secondary,
Misufini,,Lindi,Nachingwea Dc,Secondary,
Mitumbati,,Lindi,Nachingwea Dc,Secondary,
Mkoka,,Lindi,Nachingwea Dc,Secondary,
Mkotokuyana,,Lindi,Nachingwea Dc,Secondary,
Mnero,,Lindi,Nachingwea Dc,Secondary,
Nachingwea Day,,Lindi,Nachingwea Dc,Secondary,
Nachingwea Girls,,Lindi,Nachingwea Dc,Secondary,
Naipanga,,Lindi,Nachingwea Dc,Secondary,
Naipingo,,Lindi,Nachingwea Dc,Secondary,
Namapwia,,Lindi,Nachingwea Dc,Secondary,
Namatula,,Lindi,Nachingwea Dc,Secondary,
Nambambo,,Lindi,Nachingwea Dc,Secondary,
Namikango,,Lindi,Nachingwea Dc,Secondary,
Ndangalimbo,,Lindi,Nachingwea Dc,Secondary,
Nditi,,Lindi,Nachingwea Dc,Secondary,
Ndomoni,,Lindi,Nachingwea Dc,Secondary,
Ruponda,,Lindi,Nachingwea Dc,Secondary,
Stesheni,,Lindi,Nachingwea Dc,Secondary,
Chibula,,Lindi,Ruangwa Dc,Secondary,
Chienjere,,Lindi,Ruangwa Dc,Secondary,
Chinongwe,,Lindi,Ruangwa Dc,Secondary,
Chunyu,,Lindi,Ruangwa Dc,Secondary,
Hawa Mchopa,,Lindi,Ruangwa Dc,Secondary,
Kassim Majaliwa,,Lindi,Ruangwa Dc,Secondary,
Likunja,,Lindi,Ruangwa Dc,Secondary,
Liuguru,,Lindi,Ruangwa Dc,Secondary,
Lucas Malia,,Lindi,Ruangwa Dc,Secondary,
Luchelegwa,,Lindi,Ruangwa Dc,Secondary,
Makanjiro,,Lindi,Ruangwa Dc,Secondary,
Mandarawe,,Lindi,Ruangwa Dc,Secondary,
Mandawa,,Lindi,Ruangwa Dc,Secondary,
Mary Majaliwa,,Lindi,Ruangwa Dc,Secondary,
Matambarale,,Lindi,Ruangwa Dc,Secondary,
Mbekenyera,,Lindi,Ruangwa Dc,Secondary,
Mnacho,,Lindi,Ruangwa Dc,Secondary,
Nambilanje,,Lindi,Ruangwa Dc,Secondary,
Namichiga,,Lindi,Ruangwa Dc,Secondary,
Narungombe,,Lindi,Ruangwa Dc,Secondary,
Nkowe,,Lindi,Ruangwa Dc,Secondary,
Ruangwa,,Lindi,Ruangwa Dc,Secondary,
Arri Tsaayo,,Manyara,Babati Dc,Secondary,
Ayalagaya,,Manyara,Babati Dc,Secondary,
Ayatsea,,Manyara,Babati Dc,Secondary,
Bashnet,,Manyara,Babati Dc,Secondary,
Boay,,Manyara,Babati Dc,Secondary,
Burunge,,Manyara,Babati Dc,Secondary,
Chief Dodo,,Manyara,Babati Dc,Secondary,
Dabil,,Manyara,Babati Dc,Secondary,
Dareda,,Manyara,Babati Dc,Secondary,
Dohom,,Manyara,Babati Dc,Secondary,
Duru,,Manyara,Babati Dc,Secondary,
Endakiso,,Manyara,Babati Dc,Secondary,
Endamanang,,Manyara,Babati Dc,Secondary,
Gallapo,,Manyara,Babati Dc,Secondary,
Gichameda,,Manyara,Babati Dc,Secondary,
Gidas,,Manyara,Babati Dc,Secondary,
Gorowa,,Manyara,Babati Dc,Secondary,
Guse,,Manyara,Babati Dc,Secondary,
Haitemba,,Manyara,Babati Dc,Secondary,
Kiru,,Manyara,Babati Dc,Secondary,
Kisangaji,,Manyara,Babati Dc,Secondary,
Maganjwa,,Manyara,Babati Dc,Secondary,
Magara,,Manyara,Babati Dc,Secondary,
Magugu,,Manyara,Babati Dc,Secondary,
Mamire,,Manyara,Babati Dc,Secondary,
Masabeda,,Manyara,Babati Dc,Secondary,
Matufa,,Manyara,Babati Dc,Secondary,
Mbugwe,,Manyara,Babati Dc,Secondary,
Nar,,Manyara,Babati Dc,Secondary,
Ndeki,,Manyara,Babati Dc,Secondary,
Nkaiti,,Manyara,Babati Dc,Secondary,
Qameyu,,Manyara,Babati Dc,Secondary,
Qash,,Manyara,Babati Dc,Secondary,
The Tara Getty,,Manyara,Babati Dc,Secondary,
Ufana,,Manyara,Babati Dc,Secondary,
Umagi,,Manyara,Babati Dc,Secondary,
Utwari,,Manyara,Babati Dc,Secondary,
Babati Day,,Manyara,Babati Tc,Secondary,
Bagara,,Manyara,Babati Tc,Secondary,
Bonga,,Manyara,Babati Tc,Secondary,
F T Sumaye,,Manyara,Babati Tc,Secondary,
Hangoni,,Manyara,Babati Tc,Secondary,
Komoto,,Manyara,Babati Tc,Secondary,
Kwaangw,,Manyara,Babati Tc,Secondary,
Kwaraa,,Manyara,Babati Tc,Secondary,
Mutuka,,Manyara,Babati Tc,Secondary,
Nakwa,,Manyara,Babati Tc,Secondary,
Nangara,,Manyara,Babati Tc,Secondary,
Sigino,,Manyara,Babati Tc,Secondary,
Balangdalalu,,Manyara,Hanang Dc,Secondary,
Barjomot,,Manyara,Hanang Dc,Secondary,
Bassodesh,,Manyara,Hanang Dc,Secondary,
Bassotu,,Manyara,Hanang Dc,Secondary,
Chief Gejaru,,Manyara,Hanang Dc,Secondary,
Chief Gidobat,,Manyara,Hanang Dc,Secondary,
Daniel Noud,,Manyara,Hanang Dc,Secondary,
Dirma,,Manyara,Hanang Dc,Secondary,
Dumbeta,,Manyara,Hanang Dc,Secondary,
Endagaw,,Manyara,Hanang Dc,Secondary,
Endasak,,Manyara,Hanang Dc,Secondary,
Gabadaw,,Manyara,Hanang Dc,Secondary,
Ganana,,Manyara,Hanang Dc,Secondary,
Garawja,,Manyara,Hanang Dc,Secondary,
Getanuwas,,Manyara,Hanang Dc,Secondary,
Gidahababieg,,Manyara,Hanang Dc,Secondary,
Gisambalang,,Manyara,Hanang Dc,Secondary,
Gitting,,Manyara,Hanang Dc,Secondary,
Hanang,,Manyara,Hanang Dc,Secondary,
Hirbadaw,,Manyara,Hanang Dc,Secondary,
Jorojick,,Manyara,Hanang Dc,Secondary,
Katesh,,Manyara,Hanang Dc,Secondary,
Laghanga,,Manyara,Hanang Dc,Secondary,
Lalaji,,Manyara,Hanang Dc,Secondary,
Mary Nagu,,Manyara,Hanang Dc,Secondary,
Masakta,,Manyara,Hanang Dc,Secondary,
Masqaroda,,Manyara,Hanang Dc,Secondary,
Measkron,,Manyara,Hanang Dc,Secondary,
Mulbadaw,,Manyara,Hanang Dc,Secondary,
Mwahu,,Manyara,Hanang Dc,Secondary,
Nangwa,,Manyara,Hanang Dc,Secondary,
Simbay,,Manyara,Hanang Dc,Secondary,
Sirop,,Manyara,Hanang Dc,Secondary,
Sumaye,,Manyara,Hanang Dc,Secondary,
Udangu,,Manyara,Hanang Dc,Secondary,
Wareta,,Manyara,Hanang Dc,Secondary,
Bwakalo,,Manyara,Kiteto Dc,Secondary,
Dongo,,Manyara,Kiteto Dc,Secondary,
Dosidosi,,Manyara,Kiteto Dc,Secondary,
Eco,,Manyara,Kiteto Dc,Secondary,
Engusero,,Manyara,Kiteto Dc,Secondary,
Kibaya,,Manyara,Kiteto Dc,Secondary,
Kijungu,,Manyara,Kiteto Dc,Secondary,
Kiperesa,,Manyara,Kiteto Dc,Secondary,
Kiteto,,Manyara,Kiteto Dc,Secondary,
Lesoit,,Manyara,Kiteto Dc,Secondary,
Magungu,,Manyara,Kiteto Dc,Secondary,
Matui,,Manyara,Kiteto Dc,Secondary,
Ndedo,,Manyara,Kiteto Dc,Secondary,
Njoro,,Manyara,Kiteto Dc,Secondary,
Orkine,,Manyara,Kiteto Dc,Secondary,
Partimbo,,Manyara,Kiteto Dc,Secondary,
Sunya,,Manyara,Kiteto Dc,Secondary,
Alexander Saulo,,Manyara,Mbulu Dc,Secondary,
B N Hhando,,Manyara,Mbulu Dc,Secondary,
Bashay,,Manyara,Mbulu Dc,Secondary,
Dinamu,,Manyara,Mbulu Dc,Secondary,
Dr Olsen,,Manyara,Mbulu Dc,Secondary,
Endoji,,Manyara,Mbulu Dc,Secondary,
Gidhim,,Manyara,Mbulu Dc,Secondary,
Hayderer,,Manyara,Mbulu Dc,Secondary,
Haydom,,Manyara,Mbulu Dc,Secondary,
Jakaya Kikwete,,Manyara,Mbulu Dc,Secondary,
Labay,,Manyara,Mbulu Dc,Secondary,
Maghang,,Manyara,Mbulu Dc,Secondary,
Mamakari,,Manyara,Mbulu Dc,Secondary,
Maretadu,,Manyara,Mbulu Dc,Secondary,
Maretadu Juu,,Manyara,Mbulu Dc,Secondary,
Masieda,,Manyara,Mbulu Dc,Secondary,
Philip Marmo,,Manyara,Mbulu Dc,Secondary,
Tumati,,Manyara,Mbulu Dc,Secondary,
Yaeda Ampa,,Manyara,Mbulu Dc,Secondary,
Yaeda Chini,,Manyara,Mbulu Dc,Secondary,
Bargish,,Manyara,Mbulu Tc,Secondary,
Chief Sarwatt,,Manyara,Mbulu Tc,Secondary,
Daudi,,Manyara,Mbulu Tc,Secondary,
Daudi Teewi,,Manyara,Mbulu Tc,Secondary,
Gehandu,,Manyara,Mbulu Tc,Secondary,
Gunyoda,,Manyara,Mbulu Tc,Secondary,
Hhaynu,,Manyara,Mbulu Tc,Secondary,
Kainam,,Manyara,Mbulu Tc,Secondary,
Murray,,Manyara,Mbulu Tc,Secondary,
Nambis,,Manyara,Mbulu Tc,Secondary,
Nowu,,Manyara,Mbulu Tc,Secondary,
Silaloda,,Manyara,Mbulu Tc,Secondary,
Singland,,Manyara,Mbulu Tc,Secondary,
Soheda,,Manyara,Mbulu Tc,Secondary,
Tlawi,,Manyara,Mbulu Tc,Secondary,
Emboreet,,Manyara,Simanjiro Dc,Secondary,
Engeno,,Manyara,Simanjiro Dc,Secondary,
Ewongon,,Manyara,Simanjiro Dc,Secondary,
Loiborsiret,,Manyara,Simanjiro Dc,Secondary,
Loiborsoit,,Manyara,Simanjiro Dc,Secondary,
Mererani,,Manyara,Simanjiro Dc,Secondary,
Msitu Wa Tembo,,Manyara,Simanjiro Dc,Secondary,
Naberera,,Manyara,Simanjiro Dc,Secondary,
Naisinyai,,Manyara,Simanjiro Dc,Secondary,
Nyumba Ya Mungu,,Manyara,Simanjiro Dc,Secondary,
Oljoro Na 5,,Manyara,Simanjiro Dc,Secondary,
Ruvu Remmit,,Manyara,Simanjiro Dc,Secondary,
Shambarai,,Manyara,Simanjiro Dc,Secondary,
Simanjiro,,Manyara,Simanjiro Dc,Secondary,
Tanzanite,,Manyara,Simanjiro Dc,Secondary,
Terrat,,Manyara,Simanjiro Dc,Secondary,
Bulamba,,Mara,Bunda Dc,Secondary,
Chamriho,,Mara,Bunda Dc,Secondary,
Chisorya,,Mara,Bunda Dc,Secondary,
Chitengule,,Mara,Bunda Dc,Secondary,
Esperanto,,Mara,Bunda Dc,Secondary,
Hunyari,,Mara,Bunda Dc,Secondary,
Kwiramba,,Mara,Bunda Dc,Secondary,
Makongoro,,Mara,Bunda Dc,Secondary,
Mekomariro,,Mara,Bunda Dc,Secondary,
Mihingo,,Mara,Bunda Dc,Secondary,
Muranda,,Mara,Bunda Dc,Secondary,
Mwibara,,Mara,Bunda Dc,Secondary,
Mwigundu,,Mara,Bunda Dc,Secondary,
Nansimo,,Mara,Bunda Dc,Secondary,
Nyamanguta,,Mara,Bunda Dc,Secondary,
Nyeruma,,Mara,Bunda Dc,Secondary,
Salama,,Mara,Bunda Dc,Secondary,
Bunda,,Mara,Bunda Tc,Secondary,
Bunda Stoo,,Mara,Bunda Tc,Secondary,
Dr Nchimbi,,Mara,Bunda Tc,Secondary,
Guta,,Mara,Bunda Tc,Secondary,
Kabasa,,Mara,Bunda Tc,Secondary,
Kunzugu,,Mara,Bunda Tc,Secondary,
Manyamanyama,,Mara,Bunda Tc,Secondary,
Migungani,,Mara,Bunda Tc,Secondary,
Nyatwali,,Mara,Bunda Tc,Secondary,
Nyiendo,,Mara,Bunda Tc,Secondary,
Paul Jones,,Mara,Bunda Tc,Secondary,
Rubana,,Mara,Bunda Tc,Secondary,
Sazira,,Mara,Bunda Tc,Secondary,
Sizaki,,Mara,Bunda Tc,Secondary,
Wariku,,Mara,Bunda Tc,Secondary,
Adam K Malima,,Mara,Butiama Dc,Secondary,
Baranga,,Mara,Butiama Dc,Secondary,
Buhemba,,Mara,Butiama Dc,Secondary,
Buko,,Mara,Butiama Dc,Secondary,
Bumangi,,Mara,Butiama Dc,Secondary,
Bumaswa,,Mara,Butiama Dc,Secondary,
Buruma,,Mara,Butiama Dc,Secondary,
Butiama,,Mara,Butiama Dc,Secondary,
Butuguri,,Mara,Butiama Dc,Secondary,
Chief Ihunyo,,Mara,Butiama Dc,Secondary,
Kemoramba,,Mara,Butiama Dc,Secondary,
Kiabakari,,Mara,Butiama Dc,Secondary,
Kiagata,,Mara,Butiama Dc,Secondary,
Kukirango,,Mara,Butiama Dc,Secondary,
Kyanyari,,Mara,Butiama Dc,Secondary,
Masaba,,Mara,Butiama Dc,Secondary,
Mirwa,,Mara,Butiama Dc,Secondary,
Mkono,,Mara,Butiama Dc,Secondary,
Mmazami,,Mara,Butiama Dc,Secondary,
Wegero,,Mara,Butiama Dc,Secondary,
Bugwema,,Mara,Musoma Dc,Secondary,
Bukima,,Mara,Musoma Dc,Secondary,
Bukwaya,,Mara,Musoma Dc,Secondary,
Bulinga,,Mara,Musoma Dc,Secondary,
Busambara,,Mara,Musoma Dc,Secondary,
Dan Mapigano Memorial,,Mara,Musoma Dc,Secondary,
Etaro,,Mara,Musoma Dc,Secondary,
Kasoma,,Mara,Musoma Dc,Secondary,
Kigera,,Mara,Musoma Dc,Secondary,
Kiriba,,Mara,Musoma Dc,Secondary,
Mabui,,Mara,Musoma Dc,Secondary,
Makojo,,Mara,Musoma Dc,Secondary,
Mkirira,,Mara,Musoma Dc,Secondary,
Mtiro,,Mara,Musoma Dc,Secondary,
Mugango,,Mara,Musoma Dc,Secondary,
Murangi,,Mara,Musoma Dc,Secondary,
Nyakatende,,Mara,Musoma Dc,Secondary,
Nyambono,,Mara,Musoma Dc,Secondary,
Nyanja,,Mara,Musoma Dc,Secondary,
Rusoli,,Mara,Musoma Dc,Secondary,
Seka,,Mara,Musoma Dc,Secondary,
Suguti,,Mara,Musoma Dc,Secondary,
Tegeruka,,Mara,Musoma Dc,Secondary,
Baruti,,Mara,Musoma Mc,Secondary,
Buhare,,Mara,Musoma Mc,Secondary,
Bweri,,Mara,Musoma Mc,Secondary,
Iringo,,Mara,Musoma Mc,Secondary,
Kamunyonge,,Mara,Musoma Mc,Secondary,
Kiara,,Mara,Musoma Mc,Secondary,
Makoko,,Mara,Musoma Mc,Secondary,
Mara,,Mara,Musoma Mc,Secondary,
Morembe,,Mara,Musoma Mc,Secondary,
Mshikamano,,Mara,Musoma Mc,Secondary,
Mukendo,,Mara,Musoma Mc,Secondary,
Musoma Ufundi,,Mara,Musoma Mc,Secondary,
Mwisenge,,Mara,Musoma Mc,Secondary,
Nyabisare,,Mara,Musoma Mc,Secondary,
Nyamiongo,,Mara,Musoma Mc,Secondary,
Nyamitwebiri,,Mara,Musoma Mc,Secondary,
Nyasho,,Mara,Musoma Mc,Secondary,
Songe,,Mara,Musoma Mc,Secondary,
Adam Kighoma Malima,,Mara,Rorya Dc,Secondary,
Bukama,,Mara,Rorya Dc,Secondary,
Bukura,,Mara,Rorya Dc,Secondary,
Bukwe,,Mara,Rorya Dc,Secondary,
Buturi,,Mara,Rorya Dc,Secondary,
Changuge,,Mara,Rorya Dc,Secondary,
Charya,,Mara,Rorya Dc,Secondary,
Goribe,,Mara,Rorya Dc,Secondary,
Katuru,,Mara,Rorya Dc,Secondary,
Kigunga,,Mara,Rorya Dc,Secondary,
Kinyenche,,Mara,Rorya Dc,Secondary,
Kirogo,,Mara,Rorya Dc,Secondary,
Kisumwa,,Mara,Rorya Dc,Secondary,
Komuge,,Mara,Rorya Dc,Secondary,
Kukona,,Mara,Rorya Dc,Secondary,
Kuruya,,Mara,Rorya Dc,Secondary,
Kwibuse,,Mara,Rorya Dc,Secondary,
Kyangombe,,Mara,Rorya Dc,Secondary,
Mbatamo,,Mara,Rorya Dc,Secondary,
Mirare,,Mara,Rorya Dc,Secondary,
Musa Akasha,,Mara,Rorya Dc,Secondary,
Ngasaro,,Mara,Rorya Dc,Secondary,
Nyabiwe,,Mara,Rorya Dc,Secondary,
Nyamagaro,,Mara,Rorya Dc,Secondary,
Nyamasanda,,Mara,Rorya Dc,Secondary,
Nyambogo,,Mara,Rorya Dc,Secondary,
Nyamtinga,,Mara,Rorya Dc,Secondary,
Nyamunga,,Mara,Rorya Dc,Secondary,
Nyanduga,,Mara,Rorya Dc,Secondary,
Nyang'Ombe,,Mara,Rorya Dc,Secondary,
Nyathorogo,,Mara,Rorya Dc,Secondary,
Nyihara,,Mara,Rorya Dc,Secondary,
Oliyo,,Mara,Rorya Dc,Secondary,
Pastor Raphael Odunga,,Mara,Rorya Dc,Secondary,
Prof Philemon Sarungi,,Mara,Rorya Dc,Secondary,
Raranya,,Mara,Rorya Dc,Secondary,
Roche,,Mara,Rorya Dc,Secondary,
Shirati Sota,,Mara,Rorya Dc,Secondary,
Suba,,Mara,Rorya Dc,Secondary,
Tai,,Mara,Rorya Dc,Secondary,
Waningo,,Mara,Rorya Dc,Secondary,
Busawe,,Mara,Serengeti,Secondary,
Dr Omar Ali Juma,,Mara,Serengeti,Secondary,
Gesarya,,Mara,Serengeti,Secondary,
Ikoma,,Mara,Serengeti,Secondary,
Ikorongo,,Mara,Serengeti,Secondary,
Iseresere,,Mara,Serengeti,Secondary,
Kambarage,,Mara,Serengeti,Secondary,
Kemaronge,,Mara,Serengeti,Secondary,
Kibancha,,Mara,Serengeti,Secondary,
Kisaka,,Mara,Serengeti,Secondary,
Kisangura,,Mara,Serengeti,Secondary,
Kitunguruma,,Mara,Serengeti,Secondary,
Machochwe,,Mara,Serengeti,Secondary,
Majimoto,,Mara,Serengeti,Secondary,
Makundusi,,Mara,Serengeti,Secondary,
Mama Maria,,Mara,Serengeti,Secondary,
